Index,Load_AESO_2032.dat,Load_AVA_2032.dat,Load_AZPS_2032.dat,Load_BANC_2032.dat,Load_BCHA_2032.dat,Load_BPAT_2032.dat,Load_CFE_2032.dat,Load_CHPD_2032.dat,Load_CIPB_2032.dat,Load_CIPV_2032.dat,Load_CISC_2032.dat,Load_CISD_2032.dat,Load_DOPD_2032.dat,Load_EPE_2032.dat,Load_GCPD_2032.dat,Load_IID_2032.dat,Load_IPFE_2032.dat,Load_IPMV_2032.dat,Load_IPTV_2032.dat,Load_LDWP_2032.dat,Load_NEVP_2032.dat,Load_NWMT_2032.dat,Load_PACW_2032.dat,Load_PAID_2032.dat,Load_PAUT_2032.dat,Load_PAWY_2032.dat,Load_PGE_2032.dat,Load_PNM_2032.dat,Load_PSCO_2032.dat,Load_PSEI_2032.dat,Load_SCL_2032.dat,Load_SPPC_2032.dat,Load_SRP_2032.dat,Load_TEPC_2032.dat,Load_TH_Malin_2032.dat,Load_TH_Mead_2032.dat,Load_TH_PV_2032.dat,Load_TIDC_2032.dat,Load_TPWR_2032.dat,Load_VEA_2032.dat,Load_WACM_2032.dat,Load_WALC_2032.dat,Load_WAUW_2032.dat
5506,10906.0,1009.81,6116.47,2030.53,7806.0,5475.73,4160.0,140.25,5752.934348251449,7862.727906828633,13604.133328530479,2617.066326759677,207.0,1357.32,1056.16,633.93,343.6062661758288,819.8787244721258,1711.7450093520451,3270.74,3306.585283018868,1300.49,2081.54,849.6714994313295,4677.899766452661,1198.858734116009,2034.96,1769.77,5533.7,2303.89,766.42,1429.874716981132,6268.96,2209.29,0.0,0.0,0.0,411.61,352.58,91.73808962975934,3057.85,1210.19,108.93
5507,11074.0,976.27,5908.27,1889.29,7979.0,5373.84,4306.0,136.57,5537.680345663324,7568.533057599974,13095.115847460365,2519.145167265681,200.64,1335.82,1045.92,600.64,333.11725417252734,794.8508986470897,1659.4918471803828,3106.94,3163.6745283018868,1287.77,2012.68,828.2769614879205,4560.111298655615,1168.6717398564645,1967.82,1757.99,5484.52,2262.7,741.99,1368.0754716981132,5976.19,2149.21,0.0,0.0,0.0,386.0,341.24,88.30558201065263,3037.75,1178.39,105.45
5508,11147.0,967.15,5766.2,1858.28,8113.0,5415.68,4456.0,140.26,5421.141933999751,7409.256110196054,12819.534032304022,2466.130699434757,200.39,1327.2,1046.57,578.64,331.2039685148669,790.2856087820011,1649.9604227031316,3065.12,3095.5875471698114,1289.35,2001.65,827.0264098811439,4553.226337734609,1166.9072523842467,1967.42,1768.36,5550.25,2265.64,739.23,1338.6324528301886,5832.15,2135.07,0.0,0.0,0.0,379.89,342.66,86.44722406541516,3023.2,1156.43,103.16
5509,11219.0,992.91,5692.53,1877.38,8279.0,5504.36,4540.0,148.03,5463.761388424426,7467.505544900719,12920.317511705056,2485.51870776021,201.52,1332.0,1047.5,570.0,333.8641645635566,796.6331011240918,1663.2127343123514,3099.71,3057.247169811321,1315.31,2046.54,832.9886357235533,4586.051605964051,1175.3197583123952,2041.09,1793.49,5667.7,2366.04,765.61,1322.0528301886793,5745.84,2126.53,0.0,0.0,0.0,380.58,357.69,87.12684720958863,3020.51,1142.03,101.69
5510,11218.0,1047.59,5688.25,1909.85,8424.0,5738.01,4530.0,158.07,5504.322145587292,7522.941289159386,13016.232729044097,2503.970194485602,204.01,1364.76,1048.23,564.33,338.76389672870823,808.3243493732257,1687.621753898066,3158.87,3048.4439622641503,1381.38,2140.82,853.3119941088346,4697.942652689368,1203.9953532017978,2183.49,1851.69,6052.87,2548.37,819.67,1318.2460377358489,5699.57,2122.9,0.0,0.0,0.0,379.83,387.32,87.77364172362456,3082.38,1131.27,103.42
5511,11237.0,1223.71,5955.5,2008.87,8468.0,6282.54,4593.0,171.89,5856.901443302296,8004.8232150945205,13849.987380955328,2664.3619792176773,229.59,1497.27,1075.52,602.72,364.3859107825744,869.4610231443062,1815.2630660731193,3370.31,3112.67037735849,1468.19,2385.81,908.3248961560332,5000.818342659797,1281.6167611841693,2495.03,1975.39,6446.73,2872.83,965.15,1346.0196226415092,6054.84,2286.57,0.0,0.0,0.0,403.51,430.29,93.39598143017928,3258.87,1138.19,112.81
5512,11216.0,1294.67,6218.41,2103.77,8566.0,6582.98,4621.0,178.27,6075.107975296712,8303.053385074865,14365.98679529082,2763.6262733313697,241.54,1609.91,1103.18,666.59,376.58504881717636,898.5693797606863,1876.035571422137,3648.55,3255.246037735849,1544.94,2577.37,959.4320350030771,5282.19070013755,1353.7272648593726,2724.45,2088.43,6854.88,2958.34,1030.39,1407.673962264151,6384.81,2461.07,0.0,0.0,0.0,423.86,452.38,96.87557100623397,3437.37,1181.37,120.51
5513,11216.0,1348.6,6497.86,2192.93,8700.0,6650.72,4622.0,184.95,6360.063585177508,8692.5117536895,15039.829720459838,2893.2553784274437,247.03,1733.83,1128.31,708.73,384.41625488503945,917.2554162915579,1915.0483288234022,3855.58,3412.6496226415093,1612.08,2690.82,999.9410647785498,5505.214752436274,1410.8841827851759,2865.84,2223.66,7324.49,3050.52,1087.07,1475.7403773584906,6906.13,2689.2,0.0,0.0,0.0,438.04,475.23,101.41956224571206,3622.32,1238.15,126.03
5514,11183.0,1412.45,6966.76,2313.55,8765.0,6755.66,4569.0,191.96,6549.08890042914,8950.85897814163,15486.823451916604,2979.244850495821,254.09,1838.59,1156.96,786.85,394.72122816799134,941.8441074262607,1966.3846644057476,4107.41,3647.0760377358483,1668.51,2817.02,1034.8264018738514,5697.277344108414,1460.1062540177343,2958.42,2335.35,7728.59,3121.81,1110.73,1577.1139622641508,7582.73,2933.54,0.0,0.0,0.0,453.63,486.74,104.43381901680112,3755.35,1303.93,130.59
5515,11057.0,1497.65,7459.66,2452.01,8551.0,7000.05,4451.0,202.42,6769.548273871586,9252.168181924693,16008.150226790523,3079.533984306313,260.34,1949.49,1198.44,875.84,405.781477238352,968.2349617057081,2021.4835610559396,4413.65,3963.2933962264146,1717.64,2981.22,1067.9268607667539,5879.513218829664,1506.8099204035823,3093.1,2428.45,8089.21,3198.55,1125.42,1713.8566037735848,8215.37,3188.17,0.0,0.0,0.0,474.63,491.53,107.94933310688121,3872.4,1371.69,134.36
